LMED,FMR,IPOV,BEDRMS,BUILT,STATUS,TYPE,VALUE,VACANCY,TENURE,NUNITS,ROOMS,WEIGHT,PER,ZINC2,ZADEQ,ZSMHC,STRUCTURETYPE,OWNRENT,TOTSAL,ASSISTED,GLMED,GL30,GL50,GL80,APLMED,ABL30,ABL50,ABL80,ABLMED,BURDEN,INCRELAMIPCT,INCRELAMICAT,INCRELPOVPCT,INCRELPOVCAT,INCRELFMRPCT,INCRELFMRCAT,COSTMedRELAMIPCT,COSTMedRELAMICAT,COSTMedRELPOVPCT,COSTMedRELPOVCAT,COSTMedRELFMRPCT,COSTMedRELFMRCAT,FMTZADEQ,FMTMETRO3,FMTBUILT,FMTSTRUCTURETYPE,FMTBEDRMS,FMTOWNRENT,FMTCOSTMEDRELPOVCAT,FMTINCRELPOVCAT,FMTCOSTMEDRELFMRCAT,FMTINCRELFMRCAT,FMTCOSTMEDRELAMICAT,FMTINCRELAMICAT,FMTASSISTED,FMTBURDEN,FMTREGION,FMTSTATUS
73738,956,11067,2,2006,'1',1,40000,-6,'1',1,6,3117.394239,1,18021,'1',533,1,'1',0,-9,73738,15738,26213,40322,51616.6,20234.57143,33702.42857,51842.57143,66364.2,0.354919261,34.91318684,2,162.8354568,3,47.12604603,1,37.07762387,2,222.3391024,4,64.34693635,2,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','1 LTE 50% FMR','2 30 - 50% AMI','2 30 - 50% AMI','.','2 30% to 50%','-5','-5'
55846,1100,24218,4,1980,'1',1,130000,-6,'1',1,6,2150.725544,4,122961,'1',487,1,'1',123000,-9,55846,17165,28604,45744,55846,19911.4,33180.64,53063.04,64781.36,0.047527265,220.1787057,7,507.7256586,4,279.4568182,3,65.38846848,4,174.9093202,3,96.27167992,2,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','3 150-200% Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
55846,1100,15470,4,1985,'1',1,150000,-6,'1',1,7,2213.789404,2,27974,'1',1405,1,'1',28000,-9,55846,13750,22897,36614,44676.8,19937.5,33200.65,53090.3,64781.36,0.60270251,62.61415321,4,180.8274079,3,63.57727273,2,65.9464493,4,276.1538897,4,97.09319712,2,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','4 60 - 80% AMI','.','3 50% or More','-5','-5'
55846,949,13964,3,1985,'1',1,200000,-6,'1',1,6,2364.585097,2,32220,'1',279,1,'1',0,-9,55846,13750,22897,36614,44676.8,17875,29766.1,47598.2,58079.84,0.103910615,72.11796727,4,230.7361788,4,84.87881981,2,97.2248012,5,404.3827626,4,148.7566095,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','2 50.1 - 100% FMR','5 80 - 100% AMI','4 60 - 80% AMI','.','1 Less than 30%','-5','-5'
60991,737,15492,2,1980,'1',1,-6,-6,'2',100,4,2314.524902,2,96874,'1',759,5,'2',96900,0,60991,14801,24628,39421,48792.8,16651.125,27706.5,44348.625,54891.9,0.094019035,198.5415881,7,625.3162923,4,328.6092266,3,55.30870675,3,195.9721146,3,102.9850746,3,'1 Adequate','Central City','1980-1989','5 50+ units','2 2BR','2 Renter','3 150-200% Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 50 - 60% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','-5','-5'
62066,657,12005,1,1985,'1',1,-6,-6,'2',32,3,2482.655916,1,14987,'1',695,4,'2',15000,1,62066,13170,21924,35073,43446.2,14110.71429,23490,37578.21429,46549.5,0.556482285,34.49553701,2,124.8396502,2,57.0281583,2,59.72137187,3,231.5701791,4,105.7838661,3,'1 Adequate','-5','1980-1989','4 20-49 units','1 1BR','2 Renter','4 200%+ Poverty','2 100-150% Poverty','3 GT FMR','2 50.1 - 100% FMR','3 50 - 60% AMI','2 30 - 50% AMI','1 Assisted','3 50% or More','-5','-5'
60991,988,18050,3,1985,'1',1,260000,-6,'1',1,6,4084.310118,3,69962,'1',1165,1,'1',70001,-9,60991,16646,27713,44340,54891.9,19235.37778,32023.91111,51237.33333,63430.64,0.199822761,127.4541417,7,387.601108,4,177.0293522,3,114.8746804,6,403.688338,4,184.3768851,3,'1 Adequate','Central City','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
52322,773,15992,2,1980,'1',1,-6,-6,'2',8,5,2823.39599,2,32000,'2',976,3,'2',20000,0,52322,13489,22471,35929,41857.6,15175.125,25279.875,40420.125,47089.8,0.366,76.449677,4,200.10005,4,103.4928849,3,82.9054275,4,244.122061,4,126.2613195,3,'2 Moderately Inadequ','-5','1980-1989','3 5-19 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','0 Not Assisted','2 30% to 50%','West','-5'
50296,1125,15452,3,1985,'1',1,170000,-6,'1',1,7,2552.762241,2,118987,'1',1156,1,'1',107000,-9,50296,13115,21859,34939,40236.8,17049.5,28416.7,45420.7,52307.84,0.116584165,295.7168562,7,770.0427129,4,264.4155556,3,93.24123171,5,315.6385859,4,108.3832762,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','West','-5'
63221,552,12005,1,1985,'1',1,-6,-6,'2',24,3,2845.454432,1,47987,'1',1100,4,'2',48000,0,63221,13338,22199,35501,44254.7,14290.71429,23784.64286,38036.78571,47415.75,0.275074499,108.4336805,6,399.7251145,4,217.3324275,3,92.79617005,5,366.5139525,4,199.2753623,3,'1 Adequate','-5','1980-1989','4 20-49 units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','6 100 - 120% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
